PartID,Cores,BoostClock,CoreClock,Graphics,SMT,TDP,Socket,ChipsetID
e864dda8-8931-40c3-ba3f-2d4c4cbf8600,6,4.6,3.7,,True,65,AM4,195
e2c3bf68-5222-48e7-8b96-cf4d83527b7c,8,5.0,4.2,Radeon,True,120,,196
002082e5-f4af-4dbb-a954-1b02b6c841f9,16,5.4,3.4,Intel UHD Graphics 770,True,125,,197
f2ce95e6-8fa8-460d-8983-f650c7313c0d,8,4.7,3.8,,True,105,AM4,198
d4ac5346-9eb9-4ec6-a292-bf7d5a14328b,6,5.3,4.7,Radeon,True,105,,199
74e7f740-3a0e-4349-92b4-b0cd89ec6446,24,5.8,3.0,Intel UHD Graphics 770,True,125,,200
3028c342-5152-455e-9323-44c979226e36,6,4.4,3.5,,True,65,AM4,201
c1430d54-8e6b-475b-8dae-fb21fa5655fb,6,4.4,2.5,,True,65,FCLGA1700,202
43502343-8f2a-4b36-862e-834bc6a7d26f,10,4.9,3.7,Intel UHD Graphics 770,True,125,FCLGA1700,203
12b3a4fb-1947-4afc-bf1f-e69fe906a890,8,5.4,4.5,Radeon,True,105,,204
54c5d506-b3a0-444e-8325-94b47cbae1b3,6,5.1,3.8,Radeon,True,65,,205
82c2ec7f-0389-47d3-83df-93bd1bfe0859,6,4.2,3.6,,True,65,AM4,206
a9df27a5-b350-4cce-8515-3285d7b53640,14,5.1,3.5,Intel UHD Graphics 770,True,125,,207
0a2298e4-8531-4574-baa7-46cdc2f73fc1,6,4.2,3.6,,True,65,AM4,208
b717aad5-7139-4fdf-8340-b1d3d8eee4c8,8,4.5,3.4,,True,105,AM4,209
93b3439f-8998-41f0-a5ce-342b8ecd011a,12,5.0,3.6,Intel UHD Graphics 770,True,125,FCLGA1700,210
8331df08-1cf7-4321-868e-ce267ffe4d51,8,4.6,3.4,,True,65,AM4,211
28a8fae2-eb9e-4bb8-a67f-ad6494cfc31f,6,4.4,3.9,Radeon Vega 7,True,65,AM4,212
c4b3c668-24f9-42b9-8dee-cd9041897317,16,5.7,4.2,Radeon,True,120,,213
e66b169c-79a0-44d9-b178-78d958737551,14,5.1,3.5,,True,125,,214
4457611e-1053-4356-8ff2-d1e5cbea0ea1,4,4.3,3.3,,True,58,FCLGA1700,215
bfafc4c6-4915-4810-91c2-e7ed29ce0ce4,12,5.6,4.7,Radeon,True,170,,216
aadaab46-9b47-4404-a6dd-8d18bcb938ae,10,4.6,2.5,,True,65,,217
8d92ff58-4163-4c3f-91e6-b3db3a5773ab,12,4.8,3.7,,True,105,AM4,218
9a5caf5b-37c1-410d-a49f-cc1f187c5b02,16,5.2,3.2,Intel UHD Graphics 770,True,125,FCLGA1700,219
19dedd2c-bec7-48a2-896b-c14e8e9741ff,24,6.0,3.0,Intel UHD Graphics 770,True,150,,220
3455c6de-b635-4ced-9aa1-5cff5055d4cd,8,4.6,3.8,Radeon Vega 8,True,65,AM4,221
3a2fd791-dc83-4363-adaa-bd33c97ded9b,16,5.7,4.5,Radeon,True,170,,222
8614f61e-b82c-43fa-9faa-ee83ff422378,16,5.4,3.4,,True,125,,223
952793cd-267b-4c27-901f-6dc79c354a55,6,4.1,3.6,,True,65,AM4,224
1199d61f-41bf-40f8-aea1-b655ccc1e3b6,8,4.4,3.6,,True,65,AM4,225
e2776833-4640-4290-bf8a-50f1dbd9caee,8,5.3,3.6,Radeon,True,65,,226
d789566e-0cc3-4efc-b661-c96741bf3053,12,5.0,3.6,,True,125,FCLGA1700,227
a08c7327-6f66-4164-8e13-ad463cbc70f1,10,4.9,3.7,,True,125,FCLGA1700,228
590ce55d-8c42-4b30-ac62-694a63c281c7,14,4.8,2.5,Intel UHD Graphics 770,True,65,,229
be27abc4-c83d-4b10-bda9-210e9278d38d,24,5.8,3.0,,True,125,,230
7e46d37b-92ba-49ab-ba0c-359ce21f7e6f,6,4.3,2.9,,True,65,FCLGA1200,231
3b1f9f9c-d222-49e7-9c35-581ffbf3dc82,16,4.9,3.4,,True,105,AM4,232
7ff54fc1-8e58-4456-a05e-e3c2c5735fc1,4,4.5,3.4,,True,58,,233
a25bd9bc-0ec4-44de-a02d-807a3f14b74f,6,4.2,3.7,Radeon Vega 7,True,65,AM4,234
953adef1-258c-4f70-81e4-967a80bcd6cf,12,5.6,4.4,Radeon,True,120,,235
bc331c51-626a-4c65-8ceb-7c8a799c9d6b,4,4.0,3.8,,True,65,,236
0c8322f8-519e-4271-8934-f584623a5b7b,4,4.3,3.6,,True,65,FCLGA1200,237
d4e5ffba-a2b8-433d-8b59-124b7ec4568a,8,4.9,3.6,Intel UHD Graphics 630,False,95,FCLGA1151,238
09dd03b5-0f28-44ce-9eb1-97a6d1b1e366,10,4.6,2.5,Intel UHD Graphics 730,True,65,,239
7e5b468b-e1a9-4d7b-9bbf-96aa9aefa56c,6,4.4,2.5,Intel UHD Graphics 730,True,65,LGA 1700,240
00f2ad60-4856-4585-a18a-2326cb6aff50,6,3.9,3.4,,True,65,AM4,241
896d3e45-087c-480f-85de-c3cdc90a4242,6,4.7,3.7,Intel UHD Graphics 630,True,95,FCLGA1151,242
0b7c3724-5be4-4e68-9cdf-11533d904c00,6,4.4,2.6,,True,65,FCLGA1200,243
99465b8f-b207-472a-8753-ef37b2479471,16,5.2,2.1,,True,65,,244
1b970a9b-6058-4df7-b1bf-7c5dd686b1b7,12,5.4,3.6,Radeon,True,65,,245
8dcea7a2-89b3-4a91-b811-62c980c6bdcb,6,4.4,3.8,,True,95,AM4,246
e69cb3f8-c19e-46da-bbc2-7f1933a2c58d,12,4.6,3.8,,True,105,AM4,247
b9446cf2-854d-44aa-8efb-247cb77feeaf,8,5.0,3.6,Intel UHD Graphics 630,True,95,FCLGA1151,248
1d98ac99-fb71-4020-8d44-a04fec4be96c,8,5.1,3.8,Intel UHD Graphics 630,True,125,FCLGA1200,249
7e40c185-6a3f-4fdf-a4a1-d783ddbbc9eb,8,4.3,3.7,,True,105,AM4,250
42d6c5ad-7097-410a-b418-b0d0ab5fa011,4,4.5,4.2,Intel HD Graphics 630,True,91,FCLGA1151,251
5b9ed214-1338-46ba-8ca0-714198e135e8,4,4.0,3.6,Radeon Vega 8,False,65,AM4,252
bc4aea2f-cf28-45ae-a16f-dcf931da169b,4,4.3,3.3,Intel UHD Graphics 730,True,60,LGA 1700,253
73ce0172-5ea9-4845-a19d-ad72dcb3cb4c,6,4.1,2.9,,False,65,FCLGA1151,254
a83e99f0-5710-454d-af6c-8bd38ebd61c7,8,5.0,3.6,Intel UHD Graphics 750,True,125,FCLGA1200,255
35a953d6-241f-4074-af50-9181a517ba34,8,4.5,3.9,,True,105,AM4,256
9255e869-ba56-40a5-b354-0ec1f8017d33,4,4.2,4.0,Intel HD Graphics 530,True,91,FCLGA1151,257
daef5390-377f-4626-8773-955b480b2186,12,4.9,2.1,,True,65,FCLGA1700,258
7895ae64-74f0-4392-b2ef-c7e469635abf,16,5.2,3.2,,True,125,FCLGA1700,259
78270cae-0c0c-4387-a75f-0bccce42c4b9,8,5.3,3.5,Intel UHD Graphics 750,True,125,FCLGA1200,260
7877bb67-8870-4cec-b69a-8d8d3829582b,6,4.9,3.9,Intel UHD Graphics 750,True,125,FCLGA1200,261
70db1620-1775-4789-8ecf-b4cfdc23afac,16,5.2,2.1,Intel UHD Graphics 770,True,65,,262
5dc8cc58-5b9b-4c2e-bcc6-157f7ccaeab0,10,5.3,3.7,Intel UHD Graphics 630,True,125,FCLGA1200,263
da60e04d-9193-45f3-9003-0d596cf0fec0,2,,2.0,,False,65,,264
49453179-35a6-4ec5-bc7e-b9dbe4a35f76,4,4.5,3.4,Intel UHD Graphics 730,True,60,,265
bd3b1e84-a30f-414a-a5d6-11322e760299,6,4.6,3.7,Intel UHD Graphics 630,False,95,FCLGA1151,266
7fab7273-ddca-4742-9842-b95ab30cb8ad,6,4.2,3.6,,True,95,AM4,267
532d179c-f748-4dc5-9062-45e261f37257,6,4.8,4.1,Intel UHD Graphics 630,True,125,FCLGA1200,268
e750f4a8-bebb-4df8-ab9b-897c044c66c9,4,3.9,3.6,,True,65,AM4,269
4f8e61c4-4f20-4540-b277-2b9b19582e60,8,4.8,2.9,,True,65,FCLGA1200,270
9d9d8922-7e80-4279-b6d0-e84cbf3b824a,6,4.3,2.9,Intel UHD Graphics 630,True,65,FCLGA1200,271
6e7c8559-2d06-479f-834a-087188840335,16,5.5,3.4,Intel UHD Graphics 770,True,150,LGA 1700,272
b0edf5a2-d3b7-4324-8e17-75762d2f533c,32,4.5,3.7,,True,280,sTRX4,273
250ebb23-411e-4485-8179-dea833668f5a,4,4.2,3.7,Radeon Vega 11,True,65,AM4,274
a85b60c7-f34b-49d2-a890-d3f390bf2811,10,5.2,3.6,Intel UHD Graphics 630,True,125,FCLGA1200,275
6a6b3826-6bc8-4007-a9ad-06434cb4d271,6,4.0,2.8,Intel UHD Graphics 630,False,65,FCLGA1151,276
c91cf6e4-ed95-4746-8b9a-5b7ca135df8f,6,4.6,3.2,Intel UHD Graphics 630,True,65,FCLGA1151,277
7f5ea9ab-ce40-4d98-a04a-44de6706651c,4,4.4,3.7,,True,65,FCLGA1200,278
51cebfac-2db3-44f2-bc73-632cc90c669f,12,4.9,2.1,Intel UHD Graphics 770,True,65,FCLGA1700,279
00920bfe-6a5f-4c80-9ae5-5814eea9fe48,8,4.9,2.5,Intel UHD Graphics 750,True,65,FCLGA1200,280
97ebe9c4-2b08-4e99-9cf5-9e5fd759527f,24,5.6,2.0,Intel UHD Graphics 770,True,65,,281
