PartID,Size,Color,RPM_Min,RPM_Max,NoiseLevel_Min,NoiseLevel_Max
834274ab-1f72-449f-a12f-cbadf0cdb67c,,,800.0,2000.0,6.5,26.0
59b6424f-8c61-4286-b3b7-3ff7b373e13c,240.0,Black,650.0,1800.0,6.0,27.0
0f4ee89c-d775-46a1-8a22-5ae7b11efc4c,,Black,1500.0,1500.0,12.8,24.3
a0f2c990-dac1-4571-b028-47fc70ec2bf0,,Black,300.0,1500.0,19.2,24.6
0fa3fd6f-67ef-4238-8ca4-8df3c76db591,360.0,Black,550.0,2100.0,5.0,34.1
ab45159c-8b4e-4b1f-81b6-a81c5fa9a18f,,Black,1550.0,1550.0,25.6,25.6
a55de75c-c95d-4931-a92d-0e7defae6c68,360.0,White,500.0,1800.0,17.9,30.6
a5659bd0-09fa-4a2a-954a-48a7d602eb3b,360.0,Black,800.0,2000.0,,
f2b95b97-55ff-4243-bed3-f67b271ac61b,,Black / Silver,500.0,1850.0,29.0,29.0
cff75d61-4301-42c1-b67a-faafc2c6f3bc,,Black,500.0,2000.0,31.6,31.6
03190974-3d82-4878-8086-065588a00a5c,240.0,Black,500.0,1800.0,17.9,30.6
ef6584a5-5030-4957-a966-96409c0e2948,,Black / Silver,500.0,1850.0,28.0,28.0
9f27e000-9931-47fc-9920-640663ac90ec,,,300.0,1500.0,19.2,24.6
6510b1b7-26fe-4a27-87ad-2082a15cef4e,240.0,White,500.0,1800.0,17.9,30.6
1f70f18c-e2ab-47ae-a982-9fb49acee0de,,Black,300.0,1500.0,18.6,22.4
1db57e3c-10b1-45ac-a360-c64b8029ff30,240.0,Black,400.0,1850.0,5.0,28.9
304ae245-dd83-48a3-af2c-e4cb73fa388d,360.0,Black,550.0,2100.0,5.0,34.1
04257714-e18f-49a7-8453-a96421fdcc80,,Black,1500.0,1500.0,19.1,26.8
184160a2-ff93-4dc6-8f47-b3972e945f30,240.0,Black,200.0,1800.0,,
dd63e1de-0a1c-4024-934c-42f589f55e9d,240.0,,700.0,1800.0,18.0,35.2
9251c5ea-2f80-4371-a7b4-7b4d69d6ece0,,Black / Silver,1550.0,1550.0,25.6,25.6
ac5b0c4a-bf05-496d-ba00-167874bb8e49,360.0,Black / Gray,500.0,2250.0,32.9,32.9
0f5c7bf4-e6a0-4179-9df8-974109972af0,360.0,Black,500.0,2000.0,21.0,36.0
163a6bc5-653d-422c-aaa3-dcf59129da09,,,650.0,2000.0,8.0,30.0
35ffb9ff-cdb1-42e4-a7ec-df40223eb9e7,,Black,500.0,1850.0,28.0,28.0
7e42c431-5622-4a4f-bbd0-0999465be838,360.0,Black,500.0,2250.0,32.9,32.9
90cf0a8a-fb2e-4be5-8752-9a673520b9f2,360.0,Black,500.0,1800.0,17.9,30.6
63ba6fa5-8e87-42f9-bb23-433a1822027c,,White,1550.0,1550.0,25.6,25.6
f59f4877-1f33-42ea-93b3-50a52f197938,,Black,500.0,1500.0,13.8,30.5
be30ee7e-c002-4306-9f25-7298c6f2d07c,,Gray,1550.0,1550.0,25.6,25.6
6ec2d486-2423-4b1d-a32d-188815e0bf09,240.0,Black,550.0,2100.0,5.0,34.1
8c9bf3f4-4bc5-44a8-820a-9bf95f5e325a,360.0,,1000.0,2000.0,20.0,20.0
cf744aaf-60de-4e24-9c6e-3715b4428c56,,Black,450.0,2000.0,18.8,22.6
1486c7d0-b8a9-47f4-8464-d6ecbc11173a,240.0,Black,500.0,2250.0,28.2,32.9
f63d6a3e-4b78-41e3-9d1c-537a1c98bd54,,White,500.0,1850.0,28.0,28.0
4a189a64-3be4-44ce-8244-f4344251a51d,280.0,Black,200.0,1700.0,,
deece38c-c18c-4b6a-b33d-45f4f2c775f9,360.0,White,550.0,2100.0,,
d896f879-e092-4c90-9193-dfe3632d4d87,360.0,Black,500.0,1500.0,22.0,33.0
3cda8455-fdb0-47f1-a05c-72f12d8194e9,,Brown,600.0,2500.0,14.8,23.6
f438dd4c-b9b0-438f-aa20-e35446303a50,,White,500.0,1850.0,29.0,29.0
cf31b416-72eb-4a7e-b343-1e67300b7890,360.0,White,500.0,1800.0,17.9,30.6
fc7a467b-ab00-4e4b-a002-8baa988f25f9,240.0,Black,1500.0,1500.0,7.0,28.0
1ddd0339-124a-44be-8971-2903447af0b7,360.0,Black,500.0,1800.0,17.9,30.6
70421ecd-3d54-41f8-ad90-ac2e2206c35e,240.0,White,550.0,2100.0,5.0,34.1
16d70491-fe5f-46f9-89c3-d83f893d9da0,240.0,Black,500.0,2000.0,14.3,34.3
cd0c2031-6f1d-4561-82bd-ab519dc93499,360.0,Black / Gray,200.0,1800.0,22.5,22.5
791d0924-44c9-4a0b-9598-3129d5d66ba4,,Black,600.0,2500.0,14.8,23.6
efd86531-2c9f-4d31-9956-cc6cc19bb382,,Black / Silver,1550.0,1550.0,25.6,25.6
f0d3415f-d193-4a59-b6ec-30f73ab70f5f,,Silver / Black,1200.0,2800.0,22.0,22.0
bee6407f-217d-4af5-865b-86b9b7e1b3a4,,Black / Silver,1500.0,1500.0,25.6,25.6
068a4361-61ab-494d-9d79-2e2f6b7f6ff9,,,400.0,2000.0,16.3,22.8
f4fecf12-01ea-47d4-bb05-dfcd29e031bd,360.0,Black,500.0,1800.0,17.9,30.6
769f042a-8b4e-40c1-ae91-9bc66d36c9c9,240.0,Black / Gray,500.0,2250.0,32.9,32.9
6d153582-4b0f-49f4-9aa6-291a61b27c10,360.0,White / Gray,550.0,2100.0,5.0,31.1
2194fe33-08f7-4c38-a4ba-811f5f8a00c1,,Black / Silver,,,13.1,25.4
4288db5d-b456-40fe-a26d-c76b8811dcce,280.0,Black,500.0,1800.0,21.0,38.0
89a3830f-7a5c-4eef-bbfd-f457e34664d3,120.0,Black,650.0,1800.0,6.0,27.0
efe9dff6-78ad-4d6a-bb04-2b1908b7a3ac,,Black,600.0,2500.0,14.8,23.6
07b811b9-5961-4122-ad50-9aa28c3daa4a,360.0,Black,500.0,2000.0,14.3,34.3
b023da85-5270-42e8-ab29-251140c51dea,,Black,500.0,1850.0,29.0,29.0
43047921-c089-4752-90a5-d5b134be1f64,,White,1550.0,1550.0,25.6,25.6
c40da4c7-c81b-442c-a7d1-e26ebc59c9f5,360.0,Black,400.0,1850.0,19.0,35.8
507ae781-762d-4946-bf2b-491b87b5515b,420.0,Black,200.0,1700.0,,
49507680-d4af-4346-a839-ea5dbef280bb,,Black,1400.0,1400.0,,
62180622-533c-4b20-8de6-b48631891935,360.0,Black,500.0,2250.0,28.2,32.9
8ce7c7b5-54a2-4e30-9d72-b9842665633f,,Black,400.0,2000.0,16.3,22.8
9d392777-df17-48fa-a7db-92a6a8b78ad0,240.0,Black,500.0,1800.0,17.9,30.6
e99d2b76-20c2-464f-9235-e6bf59510ff1,,Black,800.0,1700.0,30.8,30.8
866ef1d9-b743-4bb2-b9ba-3777678e529f,,,450.0,1850.0,16.8,23.9
8d93e716-04d3-4eec-9aaf-75599e0a0c89,360.0,White,500.0,2250.0,32.9,32.9
