PartID,FormFactor,StorageBays,Color,SidePanel,Size,PSU
d7bf622e-28de-4e82-ba45-aefa75c3bdbb,ATX Mid Tower,2,Black,Tinted Tempered Glass,48.6,
60a4720d-c6f0-4310-a884-6168d0dceda2,ATX Mid Tower,2,Black,Tempered Glass,41.7,
6f3041cb-aaf7-4be8-8781-a60405c12cf1,ATX Mid Tower,1,Black,Tempered Glass,47.0,
209f23e9-51b6-49d6-a17c-393078611e86,ATX Mid Tower,6,White / Gray,Tempered Glass,,
19f37ceb-b037-494c-8860-d8ce5aff596d,ATX Mid Tower,2,White,Tempered Glass,66.9,
bd9d9ba8-171d-40e9-ac88-d15654a581f2,ATX Mid Tower,6,Black,Tinted Tempered Glass,,
b2585d2e-b0f5-414c-b0d3-bb921cd5fe7e,ATX Mid Tower,1,White,Tempered Glass,47.0,
9f3c21a2-081b-485f-9cc0-7415a106d181,ATX Mid Tower,2,Black,Tempered Glass,45.1,
d08f65cc-213a-4082-85b8-4bac9a289e67,ATX Mid Tower,2,Black,Tempered Glass,66.9,
4e5ccec3-fc52-470e-b779-53df83c1cf2f,MicroATX Mini Tower,1,Black,Acrylic,33.6,
39227e93-f288-4a68-962f-453290b31bc9,ATX Mid Tower,2,Black,Tempered Glass,48.6,
3ba47df4-9f69-4bd4-928c-f41d7b4adf58,ATX Mid Tower,2,Black,Tempered Glass,55.6,
076703c9-2326-4208-ac93-7435dd1199a7,ATX Mid Tower,2,Black,Tempered Glass,46.2,
eab20acc-60a0-4ff0-a44d-8d410b760db9,ATX Mid Tower,2,White,Tinted Tempered Glass,48.6,
e3eda548-d586-4fd6-8ffa-53026592148c,ATX Mid Tower,2,Black,Tempered Glass,,
0b249fb5-c795-42d1-a84d-c88fe750df52,ATX Mid Tower,2,White,Tempered Glass,43.0,
37c7b8d9-551c-4cd9-9269-945705140605,MicroATX Mini Tower,2,Black,Tempered Glass,30.4,
bf2f83af-dbe2-472f-88a9-fa87006d7037,ATX Mid Tower,2,Black,Tempered Glass,55.8,
68b4da78-020b-4081-8804-f328a5c782a4,ATX Full Tower,3,Black,Tempered Glass,54.0,
3bfc2625-d06a-47b1-8b61-eac86e8291cd,ATX Mid Tower,2,Black,Tempered Glass,42.3,
eeec85d3-09d7-4c20-98c4-854d8066d703,MicroATX Mid Tower,2,Black,Tempered Glass,36.5,
b4117178-5a3c-49c7-8e69-23284302cfaa,ATX Full Tower,6,Black,Tempered Glass,81.8,
bbb9d25e-435e-4707-940e-e53f45e7fa2e,ATX Mid Tower,2,White / Black,Tempered Glass,,
369524d5-0e0c-4a51-aab1-6b50bba491f2,MicroATX Mini Tower,3,Black,Mesh,33.0,
a23d699c-1eda-4298-a09b-25cba1c09d6f,ATX Mid Tower,2,Black,Tempered Glass,46.2,
cf45d3a0-3a50-4de9-a385-392a88429137,ATX Mid Tower,2,Black,Tempered Glass,54.2,
4ed568e8-4777-4787-a392-f1d78614e570,MicroATX Mini Tower,2,Black,Tempered Glass,,
aa2f446e-04bc-4eeb-91b2-9fb9ab571471,MicroATX Mid Tower,2,Silver / Black,Tempered Glass,,
7096c5c8-410e-40d5-b38d-34ae3fced5b4,MicroATX Mid Tower,2,Black,Tempered Glass,38.3,
6ac31a2f-1ca9-407d-bbb4-08c5a4d5719d,ATX Full Tower,3,Black,Tempered Glass,62.4,
37b0fa40-3fc7-4fcc-8122-696da2af60e9,Mini ITX Desktop,0,Black / Brown,Mesh,11.4,
b2bd42ed-79fd-44ee-90dc-6e7529a92178,ATX Mid Tower,2,White,Tempered Glass,45.1,
8164da18-4b37-4c5b-ac0d-22c115a55153,ATX Mid Tower,2,Black,Tempered Glass,55.6,
2efdd98e-4867-4a1c-907d-7f09d34bcf9e,ATX Mid Tower,2,Black,Tempered Glass,43.0,
34d5d086-64fb-4676-8980-9bc3e2ccf494,ATX Mid Tower,2,White,Tempered Glass,66.9,
81f46aa7-424f-45e5-a395-382d210bb5c3,ATX Mid Tower,2,Black,Tempered Glass,,
e6dd727f-b71c-4712-8ffb-afc182866123,Mini ITX Desktop,2,Black,Tempered Glass,20.3,
d1bc6889-d31c-40d9-ba9c-3a41054875c4,ATX Mid Tower,2,Black,Tinted Tempered Glass,40.6,
981b5f20-0938-4681-8c26-4ac7e298faa3,ATX Mid Tower,2,White,Tempered Glass,55.6,
86673089-35d7-4f72-bb75-6c3618c78fdb,ATX Mid Tower,2,Black,Acrylic,42.2,
