PartID,CoreClock,BoostClock,Memory,Chipset,Length,Color,TDP,ChipsetID
d1b300ce-c2d7-4446-a723-7613d177978a,1320.0,1777.0,12.0,GeForce RTX 3060 12GB,235.0,Black,,1
82540987-8c69-4389-939e-02699e341d7b,1920.0,2490.0,12.0,GeForce RTX 4070,261.0,Black,,2
b63839f3-138c-4361-872f-3a0f7b73084e,1320.0,1807.0,12.0,GeForce RTX 3060 12GB,316.0,Black,,1
582812cb-2ae5-45bf-822c-bfd6e98c9e23,2321.0,2581.0,12.0,Radeon RX 6700 XT,304.0,Black,230.0,3
82a0a574-7c95-4895-8b05-8bf8e6e6962a,2310.0,2760.0,12.0,GeForce RTX 4070 Ti,305.0,Black,,4
a98a43c5-fd3f-4be5-8d0f-15a87a101c43,2321.0,2581.0,12.0,Radeon RX 6700 XT,269.0,Black,230.0,3
08f14a79-dd44-49ad-abc6-664f57a5aeb6,2009.0,2368.0,16.0,Radeon RX 6950 XT,340.0,Black,,5
f4b5d1f1-b043-4bb2-bde7-4b3333fc675c,1825.0,2250.0,16.0,Radeon RX 6800 XT,340.0,Black / Silver,300.0,6
7783d074-306e-4cd9-89ce-a8fb62a19a5b,1626.0,,8.0,Radeon RX 6600,269.0,Black,,7
a629e659-9db2-4a5e-80a6-7c1205be3c61,2230.0,2520.0,24.0,GeForce RTX 4090,304.0,Black / Silver,,8
fdd7ffbd-c90d-4939-86fe-7c7570e3d8dd,2300.0,2615.0,24.0,Radeon RX 7900 XTX,344.0,Black / Silver,,9
259eb38d-6345-498e-b6fc-7263914bbc31,915.0,2505.0,48.0,RTX 6000 Ada Generation,267.0,Black / Gold,,10
a5ebcef8-4565-493b-a4d2-a9e057d3906c,1410.0,1710.0,8.0,GeForce RTX 3060 Ti,230.0,White,200.0,11
d6ce9e24-416f-4df7-8e42-c304525a442d,1366.0,1386.0,8.0,Radeon RX 580,270.0,Black / Red,185.0,12
060e6eb6-64af-405e-949c-f7b377026e6b,2321.0,2581.0,12.0,Radeon RX 6700 XT,260.0,Black,230.0,3
