PartID,Socket,FormFactor,MaxMemory,MemorySlots,Color
04304433-beaf-4902-b206-f04dbf2fe54a,AM4,0,128,4,Black / Silver
1a49b7df-8884-46d8-a621-f604bcbf815b,AM5,0,192,4,Black / Silver
6c0f5c78-82b6-47df-abf2-da1252e9769a,AM4,0,128,4,Black / Silver
5feac5dc-6706-475a-b91f-6a7935462e66,AM4,0,128,4,Black
0faee8a2-34a1-4bc2-9875-c16c700cd8d0,LGA1700,0,192,4,Black
b13c5e35-7203-483a-9414-504c7c3f99bb,AM4,1,128,4,Black
d214604e-79e7-4419-afc1-ae5d041ee259,AM5,0,192,4,Black
9c7b240e-c0f2-49ba-9456-476f2e37acb5,LGA1700,0,192,4,Black
d3e2f2d4-4701-476c-acae-d722ded6c841,AM4,1,128,4,
182c3e69-9549-46f3-82c0-19db567d81b1,AM4,0,128,4,Black / Red
afec21b8-dd87-456c-8006-620cb644df97,AM5,0,192,4,Black / Gray
78b86000-dd95-49ad-996a-2257667434b1,LGA1700,0,128,4,Black / Silver
ceea7190-d9ca-459b-8be7-484e5f77c3c7,LGA1700,1,128,4,Gray / Black
804732ef-6000-47bc-8d15-8cb8582f7da7,AM4,0,128,4,Black / White
70ca93fe-70e6-404c-a833-e572ea7ad26e,LGA1700,0,128,4,Black
9d47c8b0-4bc3-4a38-b1db-8520659a7f9e,AM5,1,192,4,Black
b344f42d-0e93-4b8d-a991-23fc08f3bd3b,AM4,1,64,4,Black / Silver
736d638c-da7d-4de2-80e0-ca1ea0a7550b,AM4,0,128,4,Black / Gold
d5e20705-e08a-49a5-807e-16792d8ea308,AM4,0,128,4,Black / Gray
4dca0b8b-956c-4987-8cc7-cf6ef5d15bb5,AM5,0,192,4,Black
21121d7f-ba98-462e-bd59-09003bde7867,AM5,1,192,4,Black / Silver
30288182-3cbf-48a3-98fd-fefc1bf5edcc,LGA1700,0,192,4,Black / Silver
f7e2ae18-927c-409f-b758-e43e1c3a5b0c,LGA1700,0,192,4,Black
0453dde5-a193-43d3-a839-48a1f7f923a5,AM4,1,128,4,Black / Gold
8e46c79f-5bff-4139-af67-178f0018134b,AM5,0,192,4,Black
1ff9aedf-d405-4fdd-a16c-5d586f6199b7,AM5,0,192,4,Black / Silver
fb258b0b-c656-46c6-9d4c-f14852b0f62b,AM4,1,128,4,Black
8819a7b7-0086-4986-9d0f-8583799563dd,AM4,1,128,4,Silver / Black
533bc42d-0666-4c57-a7e7-daefb1ecc5e6,LGA1700,2,96,2,Black
f1913558-4d8a-44bd-b0a8-127bf379b6c8,AM4,0,128,4,Silver / Black
2aece1d4-fb8e-4a10-911c-313c93347620,AM5,2,96,2,Black / Silver
1bf85538-41da-448b-81e1-cd5b8805ae07,LGA1700,0,192,4,Black / Gray
11dff56e-458b-43ca-9750-e0b96be19a02,AM4,0,128,4,Black
db76d1f6-88b8-4da0-9233-f8f7a32cd97d,AM4,1,64,2,Black / Silver
7f33dd8d-9ae1-4561-9e33-056ef2f19c10,AM4,0,128,4,Black
d2a7b305-a125-432e-a87d-603343b1dde1,AM5,0,192,4,Black
9a18c090-8435-4892-a5ef-d099057c56c6,AM4,1,64,4,Brown / Black
6f0d880c-4500-435a-9362-b1ca29bf3da9,AM5,0,192,4,Black
5328383b-ea6c-48e7-9852-6d14b57b6599,LGA1700,0,192,4,Black
9be00932-2608-4c5a-8d95-c52557cb3b2f,LGA1700,1,64,2,Black / Silver
9fbb91d5-4f10-49d2-8d2a-a0dbdae40f97,AM4,2,64,2,Black / Silver
bcd34d76-f223-4a71-aa4d-f14f6d09045b,AM4,1,32,2,Black
35a95bbc-7074-4655-a629-05c92f8ea034,AM4,0,128,4,Black / Silver
99aec213-94e9-4072-92e2-c323cafc13c3,LGA1700,0,192,4,Black / Silver
946311be-e19b-4f32-8c66-4bbd3a418091,AM4,1,128,4,Blue / Silver
e61bd14a-0374-4e43-8e7a-49ea3a705d79,sTRX4,3,256,8,Black / Silver
111ccf6d-a7ba-429e-af1d-288a3ea9780e,AM4,2,64,2,Black
3acf2b4d-c43c-4f6f-bf6d-567de617fdf2,AM5,1,96,2,Silver / Black
af13fcaa-9d8d-43bc-b3de-216cef862a97,LGA1700,0,192,4,Black / Silver
f81673cb-f585-4807-bd81-8d232bd68abf,LGA1700,1,128,4,Black / Silver
798c5d13-b9a5-4d73-b8b0-9f20bb5cfa48,AM5,0,192,4,Black / Silver
7330e1b7-a2a3-475e-a136-154656f524a6,AM5,0,128,4,Black
9be16511-8f4a-42e7-8b8c-22fd6ed496b4,AM4,1,128,4,Brown / Silver
fc0c0330-1035-40a1-9974-f098de236933,AM4,1,128,4,Black / Orange
f1ca901f-f2b0-4d6f-849c-daaa3671d785,LGA1700,0,128,4,Black / Silver
79a77672-f0ab-4fa1-99ab-eb03027dc8b0,LGA1700,1,128,4,Black
54cb3c01-0a12-4129-91e0-d38c83d896e2,LGA1700,0,192,4,Black / Gray
3f2d37d3-42bc-49f7-8ff9-8fea7da0e9f0,AM5,0,192,4,Black / White
5e33ea50-2059-445b-b85e-668a5c9e484f,LGA1700,0,192,4,Silver / Black
197ac95e-5bc6-4040-ae21-0d27b0711f33,AM4,2,64,2,Silver / Black
fb66e81e-25e7-4631-b36c-c6193a111614,LGA1700,0,192,4,Black / Gray
49d3c042-c962-459b-b5cd-2a70005b0dec,AM4,1,64,2,Black
3b5aa0eb-3dc3-44cf-ba5d-8bf2aee6f3ce,AM5,2,96,2,Black
2b78d728-70fc-4549-8494-b8e698c17878,AM4,0,128,4,Black
eb983afe-2d5b-424c-91d6-16d007aed91a,AM5,1,192,4,Black
635a5a70-4276-48e1-b1bb-b82082a7b9c5,AM5,0,192,4,Black
9eb39043-a790-483f-8173-67d46f9bf6a9,LGA1700,0,192,4,Black / Silver
1f569fec-5826-455c-86e4-44d8e97f7945,LGA1700,0,192,4,Black / Silver
cc261c53-2e6e-402b-980b-d6b04dc2e88b,AM4,1,128,4,Black / Orange
52fc7c73-8d23-4a57-a1fc-50f1d54b2156,AM5,2,96,2,Black / Silver
17e3f508-f57f-44b1-84e3-77f014cceabf,LGA1700,0,128,4,Silver / Black
c1c3ec60-de8e-4b68-a44c-ff86038eb57a,LGA1200,0,128,4,Black / Silver
a3bb4bdb-4695-4593-bf14-5770b80ca123,AM5,0,128,4,White
c525a6a2-6774-4b9b-8bcc-6b7b47bb6547,LGA1700,0,192,4,Black
57369a12-c645-40a9-9fb0-91ce1f75e3e7,AM4,1,64,2,Black
a7a1b66c-2b28-404a-bdf8-58ed9da73a72,AM5,1,192,4,Brown / Black
5faa2cc2-7fad-4308-86a9-16cbed6a77fe,LGA1700,0,128,4,Silver / Black
a2251d86-20f3-4456-bae5-17f02564d4dd,AM5,1,192,4,Black / Silver
9a94bd69-619e-4deb-a663-403691dd6484,AM4,0,128,4,White / Black
5541c607-4892-463b-b3b3-6f08f90a78d7,AM4,1,128,4,Black
8a9f7eab-f848-47cd-b486-c30ce8f7197c,LGA1700,0,192,4,Black
8eb7a85b-6730-46b6-81e0-328821189635,AM4,0,128,4,Black / White
941edfde-334f-4fde-9402-c3cfd00ad2a5,LGA1700,2,64,2,Silver / Black
09b4a961-c9f7-4b7f-9182-556bf27cde21,LGA1700,0,128,4,White / Black
8b6d9615-7a1b-4374-805e-70a0619a78e2,LGA1700,0,128,4,Black / Silver
307205f3-af97-4b9c-8239-ce8b010cd075,LGA1700,0,192,4,Black
d8d362fc-0f7d-4604-9df0-c9161a71c153,AM5,0,192,4,Black / Orange
b71ad0df-1aae-43c8-a636-bef30d6b31c4,AM5,0,192,4,Black / White
353f5c34-99b4-4ba1-a73c-1b13648f3f24,LGA1700,1,192,4,Black
d09b1266-1aba-43b8-8765-996d949c703d,AM5,1,192,4,Brown / Silver
773b1ebb-8e96-4bf9-9570-b2dfdc7353b5,LGA1700,0,128,4,Silver / Black
4fdeb66a-3d6b-46e4-a842-609129ca49db,LGA1700,0,192,4,Black
6e52f243-1a88-4416-ab85-1a9fcbdae7f0,LGA1200,1,64,2,Gray / Black
3567d6cb-e1f4-4e7c-8fee-191ac4f807ad,AM4,1,32,2,Black / White
b8cae527-fc6e-4f35-8c29-57dfcb8adadd,AM5,0,192,4,Black / Silver
e39982b9-5724-45da-b25c-a2bde9563d5e,AM4,1,128,4,Black
81e9a8a7-9e3c-4644-aa5c-54ac7a4cfbf2,AM5,0,192,4,Black / Silver
76d07bff-a2e9-457e-95e4-3034cfafd9d5,LGA1700,0,192,4,Black / Silver
011ecc16-0baf-4a38-97a9-53994975a346,LGA1700,3,192,4,Black
6edf76d0-b532-4477-afff-ad3d96ca03ef,AM5,1,192,4,Silver / Black
767d8706-95f3-4239-9e69-b032b9c150e1,AM4,0,128,4,Brown / Black
7c4e0971-b2ad-4c25-9b13-c847afa02f63,AM4,1,64,2,Black
e295b8a4-cac6-47f1-819f-598bd8424365,AM4,0,128,4,Black / Silver
a93f3a16-ee1f-4599-b270-7005a18ecd71,LGA1700,0,192,4,Silver / Black
e3310ccd-d7cc-448d-8393-bf31a29e6367,AM5,0,192,4,Silver / Black
f86ffd4b-b86d-45a5-9f5f-46f04d507a7c,LGA1700,1,192,4,Silver / Black
b2699f26-9027-44de-bb74-f8a16e0906ce,AM4,2,64,2,Black / Silver
6bed392e-72e3-4a82-8764-66a6fcd21a04,AM4,1,128,4,Silver / Black
85b8411f-9efd-46de-a623-72facbf63f18,LGA1700,0,192,4,Black
5c3dc37e-ecfa-4790-b117-bd628c8ec1f5,LGA1700,0,128,4,Black
e4beda8a-83ae-4a71-8d74-6cf7b828b877,LGA1200,0,128,4,Black / Silver
9c7efaa2-232e-46b8-9131-15b632f257fd,AM4,0,128,4,Silver / Black
1865d3fc-e78d-4306-88e6-4bfd2cca5628,AM5,0,192,4,Black
046cab64-24cd-4a9c-b4a0-73a17b85894d,LGA1700,0,192,4,Black
ecb990cc-5694-4707-9525-460bcbd850c6,LGA1700,0,128,4,Black
f4cc3fc6-71d2-4f22-bcdc-07c643824493,LGA1700,1,64,2,Gray / Black
09ac56e9-7c04-48a2-a435-959c162fe8ec,LGA1700,1,128,4,Black
42ec7920-c7a5-4657-b00e-160cbdfeb922,AM4,1,128,4,Silver / Black
647e1c72-226a-4c0f-897b-bb5b65834e3c,AM5,1,192,4,Black / Silver
