PartID,PricePerGB,Capacity,FormFactor,Interface,Cache,Type
454af883-a037-49da-994a-13d2e797b3f9,0.07,2000.0,M.2-2280,M.2 PCIe 4.0 X4,2048.0,SSD
fc2e82b4-b5a7-46ed-b6e7-1c82934862ce,0.05,1000.0,M.2-2280,M.2 PCIe 3.0 X4,1024.0,SSD
54aa6301-9d8d-42de-878b-d2ddf219b8c8,0.05,2000.0,M.2-2280,M.2 PCIe 3.0 X4,1024.0,SSD
c305f739-08cb-4760-8e49-251da8f9a0fa,0.06,1000.0,M.2-2280,M.2 PCIe 4.0 X4,1024.0,SSD
167de29e-c115-4482-8942-03ebe2472653,0.067,2000.0,M.2-2280,M.2 PCIe 4.0 X4,2048.0,SSD
b26bde7c-41bf-436a-8e5b-33b7a0cd66f7,0.042,1000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
d1260e08-b0cc-4c47-a0bd-4b49c56d0815,0.028,2000.0,3.5,SATA 6.0 Gb/s,256.0,7200
af41ff92-9e2b-4ca1-b2db-822862a61c61,0.06,2000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
0c22044a-0c10-4fb9-8a88-5b6ff2974592,0.044,1000.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
a13870c6-ddc4-44b9-a7eb-d521a5a2a3b2,0.06,500.0,M.2-2280,M.2 PCIe 3.0 X4,512.0,SSD
061b7d4a-6633-425f-89a8-b730323fc11c,0.049,2000.0,M.2-2280,M.2 PCIe 4.0 X4,2048.0,SSD
edac213d-1e94-477f-a789-ea23841fe4c2,0.028,1000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
a799c838-4a00-451b-a8ba-c1b3e645e122,0.051000000000000004,1000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
8a4d8531-0e1a-4269-9947-05c70c49f7c8,0.075,4000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
81e4e9ad-59ce-4c74-bf34-ff0c8f23f451,0.06,1000.0,2.5,SATA 6.0 Gb/s,1024.0,SSD
61df1993-d3a4-46be-9a2f-54a711ee91c6,0.156,16000.0,2.5,SATA 6.0 Gb/s,,SSD
98d8d925-d882-4c46-b185-d38687c6e458,0.04,2000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
a5f75154-26c3-4423-b4dd-bb1a8e397bca,0.017,4000.0,3.5,SATA 6.0 Gb/s,256.0,5400
a08363b7-a3a4-42ea-a324-216132649522,0.045,1000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
5590da80-871c-4011-8b4b-095d7ff4491d,0.054,1000.0,M.2-2280,M.2 PCIe 4.0 X4,1024.0,SSD
58872384-e6e2-4b5a-9e9a-9c67303d91f7,0.043000000000000003,1000.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
0650d5de-238a-4838-a43c-48d8f6a22f63,0.061,2000.0,2.5,SATA 6.0 Gb/s,2048.0,SSD
c4d8d8a6-e80d-43d0-a757-c10bad20aa84,0.045,2000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
24492b5a-f003-4590-8533-565ce23d45a1,0.1,1000.0,M.2-2280,M.2 PCIe 4.0 X4,1024.0,SSD
553fc647-0c38-463d-b03b-5e84929af094,0.125,8000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
003a1eb3-bc12-4bbe-a8f4-527c2eff4b58,0.065,1000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
a671fd18-51ca-49a2-84bf-8bcd3a0935ca,0.056,4000.0,2.5,SATA 6.0 Gb/s,4096.0,SSD
6ba4f9d6-476f-419c-9b36-7b634a1ac99c,0.035,1000.0,3.5,SATA 6.0 Gb/s,64.0,7200
2958e10c-e09b-4619-bea8-15b998073669,0.05,2000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
04c16cdb-00d1-4cf5-95c9-9d89308bb6ee,0.12,4000.0,M.2-2280,M.2 PCIe 5.0 X4,,SSD
701c5ed7-850b-44de-b1f9-0881e563f34c,0.036000000000000004,1000.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
3d0f5883-ccf2-4756-999f-de9261946a43,0.046,8000.0,2.5,SATA 6.0 Gb/s,,SSD
4ee4db8d-4bf7-418b-9128-3a9428c657ee,0.036000000000000004,1000.0,3.5,SATA 6.0 Gb/s,64.0,7200
93864fb2-ba39-4d34-813d-71775bc7110a,0.036000000000000004,1000.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
7e997265-636a-4f69-bf22-ddd4571caa78,0.025,22000.0,3.5,SATA 6.0 Gb/s,512.0,7200
47666f75-4848-485d-8119-c9943f9f59cd,0.057,4000.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
7b86b1ff-ecac-466a-aacc-21cf90e7964d,0.047,512.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
323933ea-ce87-4928-b01f-73b64b92319e,0.031,2000.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
c5800015-12d9-487d-a42b-8b62b3fbca33,0.055,1000.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
60a27d5c-a047-41a9-ada4-c371d6f216a2,0.05,500.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
ee1de11a-06db-4da5-b240-e5fcad4ba18f,0.061,2048.0,M.2-2280,M.2 PCIe 4.0 X4,,SSD
f36af4b7-05a4-49a6-967d-f61c59348474,0.042,2000.0,M.2-2280,M.2 PCIe 3.0 X4,,SSD
e22566db-3f4a-4753-81d5-49e5f428633e,0.014,8000.0,3.5,SATA 6.0 Gb/s,256.0,5400
c25bac84-29d0-41c3-900a-0b5ace5cce1b,0.048,1000.0,2.5,SATA 6.0 Gb/s,1024.0,SSD
10595a82-db0e-4300-afa0-1091523cfc49,0.092,240.0,2.5,SATA 6.0 Gb/s,,SSD
